"OptionSet","Exploit","Refine","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","Truly Liable",0.5,0,0.499994,0.716723,1,1,1,1,0.743779,0.655476,,,0.74056,,,,,0.00236042,0.0335259,0.223538,0.684522,10.6906,9.18857,1000.12,999.061,0.120883,0.0248388,0.309449,0.334287,0.00354898,0.215333,0,0,0.74056,0.753828,0.0023681,0.0335336,1.53487E-05,1,0,1.15263E-05,1,1,0,0,0.74056,0.00236042,0.0335259,0.0705212,0.153017
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","Truly Not Liable",0.5,0,0.500006,0.283273,1,1,1,1,0.344124,0.252139,,,0.734601,,,,,0.0238655,0.00486447,0.23664,0.297667,10.1868,9.69183,1000.03,999.713,0.121374,0.308174,0,0.308174,0.215588,0,0,0,0.734601,0.244146,0.02388,0.00487903,2.913E-05,0,0,3.4784E-06,1,1,0,0,0.734601,0.0238655,0.00486447,0.1662,0.0704401
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","AllCount",2890,0,2890,0.499995,2890,2890,2890,2890,0.543949,0.453805,,,2131.61,,,,,37.8968,55.4736,664.958,281.639,10.4387,9.4402,1000.08,999.387,0.121128,0.166508,0.154722,0.321231,0.10957,0.107665,0,0,2131.61,0.500014,37.9289,55.5057,0.064272,1444.98,0,7.5023E-06,2890,2890,0,0,2131.61,37.8968,55.4736,342.064,322.894
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","Liability Strength1",0.2261,0,0.226114,0.1,1,1,1,1,0.190856,0.126842,,,0.840203,,,,,0.0413957,4.02806E-05,0.118348,0.0328966,10.035,9.84806,1000.01,999.925,0.116938,0.145891,0.0385669,0.184458,0.0328951,0.0377099,0,0,0.840203,0.116428,0.0414019,4.65312E-05,1.25013E-05,0.0399657,0,-6.39492E-06,1,1,0,0,0.840203,0.0413957,4.02806E-05,0.114455,0.0038933
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","Liability Strength2",0.1902,0,0.190224,0.3,1,1,1,1,0.318164,0.21404,,,0.68744,,,,,0.0171556,0.000972556,0.294385,0.169806,10.107,9.76941,1000.02,999.814,0.123539,0.192787,0.151345,0.344132,0.108997,0.148519,0,0,0.68744,0.192621,0.0171791,0.000996016,4.69192E-05,0.169489,0,4.91077E-06,1,1,0,0,0.68744,0.0171556,0.000972556,0.244397,0.0499885
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","Liability Strength3",0.1673,0,0.167339,0.5,1,1,1,1,0.565512,0.424784,,,0.555919,,,,,0.00277772,0.00949666,0.431758,0.5,10.4356,9.43575,1000.07,999.359,0.128691,0.298585,0.282219,0.580804,0.259511,0.257171,0,0,0.555919,0.49379,0.002802,0.00952094,4.85595E-05,0.5,0,2.11357E-05,1,1,0,0,0.555919,0.00277772,0.00949666,0.215879,0.215879
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0.75","0.004415","0.9895","Liability Strength4",0.1902,0,0.19022,0.7,1,1,1,1,0.780883,0.676107,,,0.684215,,,,,0.000127799,0.0316349,0.284011,0.830194,10.7695,9.10733,1000.14,998.941,0.12315,0.182148,0.19142,0.373569,0.152707,0.107743,0,0,0.684215,0.803255,0.000133515,0.0316407,1.14321E-05,0.830511,0,1.64073E-05,1,1,0,0,0.684215,0.000127799,0.0316349,0.0482269,0.235784
